# gnuplot dump (#col:description)
# networking interface: enp0s25
# sampling interval (t): 1000 ms
# 1:unixtime 2:rx-bytes-per-t 3:rx-pkts-per-t 4:rx-drops-per-t 5:rx-errors-per-t 6:rx-bytes 7:rx-pkts 8:rx-drops 9:rx-errors 10:tx-bytes-per-t 11:tx-pkts-per-t 12:tx-drops-per-t 13:tx-errors-per-t 14:tx-bytes 15:tx-pkts 16:tx-drops 17:tx-errors 18:context-switches-per-t 19:mem-free 20:mem-used 21:mem-total 22:swap-free 23:swap-used 24:swap-total 25:procs-total 26:procs-in-run 27:procs-in-iow 28:cpu0-usr-per-t 29:cpu0-nice-per-t 30:cpu0-sys-per-t 31:cpu0-idle-per-t 32:cpu0-iow-per-t 33:cpu0-net-irqs-per-t 34:cpu0-net-irqs 35:cpu0-net-rx-soft-irqs-per-t 36:cpu0-net-rx-soft-irqs 37:cpu0-net-tx-soft-irqs-per-t 38:cpu0-net-tx-soft-irqs 39:cpu1-usr-per-t 40:cpu1-nice-per-t 41:cpu1-sys-per-t 42:cpu1-idle-per-t 43:cpu1-iow-per-t 44:cpu1-net-irqs-per-t 45:cpu1-net-irqs 46:cpu1-net-rx-soft-irqs-per-t 47:cpu1-net-rx-soft-irqs 48:cpu1-net-tx-soft-irqs-per-t 49:cpu1-net-tx-soft-irqs 50:cpu2-usr-per-t 51:cpu2-nice-per-t 52:cpu2-sys-per-t 53:cpu2-idle-per-t 54:cpu2-iow-per-t 55:cpu2-net-irqs-per-t 56:cpu2-net-irqs 57:cpu2-net-rx-soft-irqs-per-t 58:cpu2-net-rx-soft-irqs 59:cpu2-net-tx-soft-irqs-per-t 60:cpu2-net-tx-soft-irqs 61:cpu3-usr-per-t 62:cpu3-nice-per-t 63:cpu3-sys-per-t 64:cpu3-idle-per-t 65:cpu3-iow-per-t 66:cpu3-net-irqs-per-t 67:cpu3-net-irqs 68:cpu3-net-rx-soft-irqs-per-t 69:cpu3-net-rx-soft-irqs 70:cpu3-net-tx-soft-irqs-per-t 71:cpu3-net-tx-soft-irqs 
# data:
1576696809 0 0 0 0 87824236 390175 0 0 0 0 0 0 10291939 121737 0 0 394 2760616 1010144 3770760 3909628 11264 3920892 120 1 0 0 0 1 99 0 0 0 0 190 0 311 0 0 0 99 2 1 760884 1 764736 0 120676 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3987 0 2362 
1576696810 90 1 0 0 87824326 390176 0 0 0 0 0 0 10291939 121737 0 0 111 2760616 1010144 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 311 0 0 0 100 0 1 760885 1 764737 1 120677 0 0 0 99 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3987 0 2362 
1576696811 180 2 0 0 87824506 390178 0 0 0 0 0 0 10291939 121737 0 0 82 2760616 1010144 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 311 0 0 0 100 0 3 760888 3 764740 0 120677 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3987 0 2362 
1576696812 874 7 0 0 87825380 390185 0 0 686 6 0 0 10292625 121743 0 0 744 2759856 1010904 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 311 1 0 0 98 0 11 760899 11 764751 0 120677 2 0 1 99 0 0 0 0 254 0 380 0 0 1 98 0 0 0 0 3987 0 2362 
1576696813 0 0 0 0 87825380 390185 0 0 0 0 0 0 10292625 121743 0 0 1294 2759920 1010840 3770760 3909628 11264 3920892 120 1 0 0 0 0 99 0 0 0 0 190 0 311 0 0 0 100 0 1 760900 1 764752 0 120677 0 0 0 99 0 0 0 0 254 0 380 0 0 1 94 0 0 0 0 3987 0 2362 
1576696814 64 1 0 0 87825444 390186 0 0 0 0 0 0 10292625 121743 0 0 623 2760016 1010744 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 311 0 0 0 100 0 1 760901 1 764753 0 120677 0 0 0 100 0 0 0 0 254 0 380 0 0 0 98 0 0 0 0 3987 0 2362 
1576696815 64 1 0 0 87825508 390187 0 0 64 1 0 0 10292689 121744 0 0 87 2760016 1010744 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 311 0 0 0 100 0 3 760904 3 764756 1 120678 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3987 0 2362 
1576696816 64 1 0 0 87825572 390188 0 0 0 0 0 0 10292689 121744 0 0 98 2760016 1010744 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 311 0 0 1 100 0 1 760905 1 764757 0 120678 0 0 0 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3987 0 2362 
1576696817 0 0 0 0 87825572 390188 0 0 0 0 0 0 10292689 121744 0 0 837 2760016 1010744 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 311 0 0 0 100 0 1 760906 1 764758 0 120678 0 0 0 99 0 0 0 0 254 0 380 0 0 0 97 0 0 0 0 3987 0 2362 
1576696818 0 0 0 0 87825572 390188 0 0 0 0 0 0 10292689 121744 0 0 116 2760016 1010744 3770760 3909628 11264 3920892 120 1 0 0 0 0 100 0 0 0 0 190 0 311 0 0 1 100 0 0 760906 0 764758 0 120678 0 0 1 100 0 0 0 0 254 0 380 0 0 0 100 0 0 0 0 3987 0 2362 
